"urlDrugName","rating","effectiveness","sideEffects","condition","benefitsReview","sideEffectsReview","sideEffectsNumber","effectivenessNumber","weightedRating","ratingLabel","sideEffectsInverse","benefits_preprocesado","effects_preprocesado"
"flagyl",7,"Considerably Effective","Moderate Side Effects","bacterial vaginosis","I experienced complete clearing of the Vaginosis after the regimin was completed.","I did get a mild yeast infection during treatment.",3,4,8,1,3,"experienc complet clear vaginosi regimin complet","get mild yeast infect treatment"
"dextroamphetamine",8,"Highly Effective","Moderate Side Effects","add","Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts.","Dexerine IR tablets need to be taken more often than adderall and also wear off more abruptly. Generic tablets are not high quality and somewhat expensive due to the need for a large quantity of tablets.",3,5,8,1,3,"smoother gradual onset effect adderal effect control add symptom previous control adderal howev drug seem natur transpar less tension anxieti less druggi unnatur feel thought","dexerin ir tablet need taken often adderal also wear abrupt generic tablet high qualiti somewhat expens due need larg quantiti tablet"
"sarafem",8,"Considerably Effective","Mild Side Effects","depression","I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.","My sides effects were not noticeable and very mild.  I have noticed some lower libido while on Fluoxetine, but no other noticeable side effects.",2,4,8,1,4,"found drug help signific level depress month irrit occur around menstrual cycl","side effect notic mild notic lower libido fluoxetin notic side effect"
"latisse",9,"Considerably Effective","Mild Side Effects","sparse eyelashes","For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.


Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too.","My upper eyelids were red and itchy for the first 4-5 weeks but that went away and I have not had a problem since.  My eye exams have been normal with eye preassure normal.",2,4,8,1,4,"first time life enough lash appli mascara tri eyelash extens broke pull thin lash strip lash itchi uncomfort now normal lash even though appli upper lash lower lash grown longer thicker","upper eyelid red itchi first 45 week went away problem sinc eye exam normal eye preassur normal"
"aldara",4,"Considerably Effective","Severe Side Effects","skin cancer","Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman.","I felt an out of it feeling, like a depressed feeling, I was fatigued and I broke out with severe blisters on and around my lips.",4,4,6,0,2,"aldara seem crust previous skin cancer area help minim scar moh surgeri skin cancer due side effect toler one week oppos 6 week regiman","felt feel like depress feel fatigu broke sever blister around lip"
"effexor-xr",8,"Highly Effective","No Side Effects","anxiety","reduction in anxiety, no panic attacks.  drug is extremely effective","no side effects while on drug.  Super bad side effects while going off the drug.  Google searched it.  Lots of people with the same symptoms.  read up before you start it.",1,5,10,1,5,"reduct anxieti panic attack drug extrem effect","side effect drug super bad side effect go drug googl search lot peopl symptom read start"
"neurontin",6,"Moderately Effective","No Side Effects","nerve disorder","I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.





For the migraines


I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record.","I have no side effect while taking Gabapentin but if I miss a couple of dosages or run out and wait for my next refill, I have moderate withdrawal syptoms. These syptoms include itchness, irrability, moodness, axiousness, and headaches.





Maxalt side effect for  me is throat feels contristricted shortly after taking medicine.",1,3,8,1,5,"im take gabapentin treat nerv disord nerv inflam caus experi pelvic pain pelvic disord gabapentin sometim work experi relaps migrain find 800mg ibprofen work better side effect migrain maxalt better track record","side effect take gabapentin miss coupl dosag run wait next refil moder withdraw syptom syptom includ itch irrabl mood axious headach maxalt side effect throat feel contristrict short take medicin"
"omnicef",1,"Marginally Effective","Severe Side Effects","sore throat ear infections","don't know yet back to pediatrician today","My one year old daughter who has an awesome disposition (and always has) became restless and agitated. Very touchy, aggressive, crying a lot, and having a hard time sleeping. Also refluxing a lot and not nursing normally. It just dawned on me this morning it must be the medication. Will request another antibiotic today from the pediatrician.",4,2,4,0,2,"dont know yet back pediatrician today","one year old daughter awesom disposit alway becam restless agit touchi aggress cri lot hard time sleep also reflux lot nurs normal just dawn morn must medic will request anoth antibiot today pediatrician"
"klonopin",8,"Considerably Effective","Mild Side Effects","generalized anxiety disorder","Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.","Fatigue can sometimes be excessive.  High dependency.",2,4,8,1,4,"good reliev anxieti good general calm level make function easier help littl relax muscl tension calm effect make excel sleep aid","fatigu can sometim excess high depend"
"dovonex",6,"Moderately Effective","No Side Effects","psoriasis","Controlled the psoriasis, however did not reduce its presence.","a ""halo"" a few shades lighter than the natural skin tone was present around the site of application, which would last about 12-24 hours.",1,3,8,1,5,"control psoriasi howev reduc presenc","halo shade lighter natur skin tone present around site applic last 1224 hour"
"protopic",8,"Highly Effective","Moderate Side Effects","ezcema","cure the ezcema and it took aout teh roughest of the skin","skin redness and flushes, sometimes the skin eels like it is on fire, and you feel very ho.


It is also very itchy when the skin is heeling because of the drug, sometimes you even wake up in the middle of the night because of the itchiness. But this only happens the first few days, when the skins is very bad with ezcema, after a few days, when the skin is better you don't feel you have put any treatment in the skin, and it feels as any othe normal moisturiser cream",3,5,8,1,3,"cure ezcema took aout teh roughest skin","skin red flush sometim skin eel like fire feel ho also itchi skin heel drug sometim even wake middl night itchi happen first day skin bad ezcema day skin better dont feel put treatment skin feel oth normal moisturis cream"
"effexor",9,"Considerably Effective","Mild Side Effects","panic attacks and depression","reduction of panic attacks and depression to almost nil","nausea for first two weeks then no perceived ill effects",2,4,8,1,4,"reduct panic attack depress almost nil","nausea first two week perceiv ill effect"
"sotret",10,"Highly Effective","Moderate Side Effects","acne","I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal.","First, let me say that I didn't experience the awful side effects that some do with isotretinoin use.  I did turn very, very red around the perioral area and especially at the nasolabial folds.  My face felt as if I needed to peel it off and scratch deep down in the dermis.  In fact, that was my main complaint--the itchiness . . . and of course the dryness.  But the dryness was not nearly as bad as I expected.  For example, my lips never cracked.  However, I'm several years out from treatment , and I still have dry skin problems.  It's weird because my skin was always so oily and now it's dry.  But that could be attributed to normal aging.  Regardless, I've become a real connosiour of facial moisturizers.  My skin is also a little more sensitive post isotretinoin.  Tazorac one percent, which I used to slather on nightly like lotion, now sets me on fire if I dare to use the half percent version more than twice a week.  I know the literature claims there's no anti-aging efficacy if it isn't used daily, but I'm hoping for the best.",3,5,8,1,3,"took isotretinoin persist adult acn skin mean aw evid pimpl forehead chin aw aw blackhead nose despit daili steam extract terribl drug total clear face blackhead liter dri front eye horribl oili skin chang almost normal","first let say didnt experi aw side effect isotretinoin use turn red around perior area especi nasolabi fold face felt need peel scratch deep dermi fact main complaintth itchi cours dryness dryness near bad expect exampl lip never crack howev im sever year treatment still dri skin problem weird skin alway oili now dri attribut normal age regardless ive becom real connosiour facial moistur skin also littl sensit post isotretinoin tazorac one percent use slather night like lotion now set fire dare use half percent version twice week know literatur claim there antiag efficaci isnt use daili im hope best"
"retin-a-micro",8,"Moderately Effective","Moderate Side Effects","anti-aging, acne","The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over.","The side effects of the treatment included Redness, Dryness, Skin Irritation.  The skin was very dry and difficult to moisturize.  The skin looked red and irritated.   However, when I switched to a lighter skin cleanser, Cetaphil, this really helped improve the redness and dryness.  Prior to the Cetaphil i was using Roc cleansing pads which were too harsh on my skin.",3,3,6,1,3,"treatment benefit includ skin regener decreas acn skin felt smooth pigment disapear overal goal accomplish howev red skin took","side effect treatment includ red dryness skin irrit skin dri difficult moistur skin look red irrit howev switch lighter skin cleanser cetaphil realli help improv red dryness prior cetaphil use roc cleans pad harsh skin"
"lamotrigine",9,"Considerably Effective","Mild Side Effects","epilpsy","fits settled down to maybe 1 a fortnight which were daily before this medication","has gained quite abit of weight but as he has had problems gaining weight since being a toddler this isnt a bad thing",2,4,8,1,4,"fit settl mayb 1 fortnight daili medic","gain quit abit weight problem gain weight sinc toddler isnt bad thing"
"rebif",6,"Considerably Effective","Moderate Side Effects","multiple sclerosis","Reduce number of MS relapses","Flu like symptoms- aches, fever",3,4,8,1,3,"reduc number ms relaps","flu like symptom ach fever"
"symbicort",10,"Highly Effective","No Side Effects","asthma, emphysema","I had taken Pulmicort, and other inhalants, with no major changes.  It became more difficult to maintain my exercise and lively life style. I gave in and began Symbicort and immediately experienced a relief of shortness of breath, weezing.  I feel like a new person. I still have a reaction to cold wind, and very high humidity, but so much better.  I rarely use my Albuterol.","none",1,5,10,1,5,"taken pulmicort inhal major chang becam difficult maintain exercis live life style gave began symbicort immedi experienc relief short breath weez feel like new person still reaction cold wind high humid much better rare use albuterol","none"
"lamictal",8,"Considerably Effective","Mild Side Effects","bipolar disorder and depression","I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level.","There's one 'side effect' - and I'm purposely and playfully/sarcastically placing it within quotes:  this stuff has increased my sex-drive manyfold! I don't know if this has been the case with other patients, and I'm curious to know if anyone else has had that experience.


I'm also presenting with a little 'feathery tickle', resulting in an annoying dry cough; perhaps this side effect will lessen as my body adapts to the medication.",2,4,8,1,4,"im feel ground high low less extrem say emot play field level","there one side effect im purpos playfullysarcast place within quot stuff increas sexdriv manyfold dont know case patient im curious know anyon els experi im also present littl featheri tickl result annoy dri cough perhap side effect will lessen bodi adapt medic"
"lyrica",1,"Marginally Effective","Severe Side Effects","fibromyalgia, failed back syndrome","It seemed to work at first, but then the side effects started. Fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). The hard part is I can't seem to get off this stuff!! The withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. It scares me so much that I just start taking it again. I'm stuck!! Don't ever start this stuff, there is something wrong with it. I don't know if I will ever be myself again.","see above",4,2,4,0,2,"seem work first side effect start fatigu sever memori loss poor decis urinari incontin person chang crabbi irrit withdrawn hard part cant seem get stuff withdraw horribl shaki feel doom loss appetit nausea palpit scare much just start take im stuck dont ever start stuff someth wrong dont know will ever","see"
"doxycycline",8,"Considerably Effective","Mild Side Effects","acne","decrease in acne pustules","photosensitivity",2,4,8,1,4,"decreas acn pustul","photosensit"
"vyvanse",8,"Considerably Effective","Mild Side Effects","adhd","Alert, awake, focused","dry mouth, decreased appetite",2,4,8,1,4,"alert awak focus","dri mouth decreas appetit"
"actonel",7,"Marginally Effective","Mild Side Effects","osteoporosis","My  bone density's results have always been stable and I was told to continue with the drug.","leg cramps during the night.",2,2,6,1,4,"bone densiti result alway stabl told continu drug","leg cramp night"
"provigil",7,"Moderately Effective","Mild Side Effects","fatigue","I was more alert during the first part of the day but I found that it wore off by the afternoon. I could focus clearly, and if I needed a boost during the day another dose was enough.","It may cause some nervousness or restlessness. Sometimes I felt like I had drank a large cup of coffee during its full potency.",2,3,6,1,4,"alert first part day found wore afternoon focus clear need boost day anoth dose enough","may caus nervous restless sometim felt like drank larg cup coffe full potenc"
"ambien",8,"Considerably Effective","Mild Side Effects","insomnia","Sleeping 7-8 hours without hangover","Memory loss",2,4,8,1,4,"sleep 78 hour without hangov","memori loss"
"wellbutrin",10,"Highly Effective","Mild Side Effects","depression","I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before.","A little bit of ""hyper"" feelings.  I take the entire dose at one time, daily, and have been advised that the feeling of being revved up would disspiate if I did take it in two or more doses during the day.  I try to minimize the effect by taking the medication first thing in the morning.",2,5,10,1,4,"taken antidepress mani year first flip switch sexual longer feel like look dark room energi feel motiv overal function higher level","littl bit hyper feel take entir dose one time daili advis feel revv disspiat take two dose day tri minim effect take medic first thing morn"
"propecia",8,"Moderately Effective","Mild Side Effects","male pattern baldness","Ostensibly this will halt or even reverse the effects of male-pattern baldness. So far, one month in, there is not a great deal to report. I expected my hair loss to temporarily increase, as I had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. In other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. So far, this has not occurred. The product must be taken for up to two years for any noticeable hair growth to take place, so I really haven't been on it long enough to judge its re-growth potential. In terms of halting the process, however, I must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. I will post a fuller report in another forty-seven months, I suppose.","I was surprised to experience brief blinding headaches in the upper left rear quadrant of my head, like a mini seconds-long burst of pressure that felt like a blunt object suddenly trying to explode out of my skull. This pressure would subside and I would go about my day. I'm told headaches are not one of the usual side-effects, so it may be an unrelated fluke. However, I've never had such an experience before, and it only manifested within about forty-eight hours of my first taking the drug and for seventy-two hours thereafter. The sudden and sporadic bursts of acute pain subsided, however, but I would caution anyone taking this drug for the first time to be on the lookout, especially if driving or in a public place with bright lights and a lot of noise around.",2,3,6,1,4,"ostens will halt even revers effect malepattern bald far one month great deal report expect hair loss temporarili increas read literatur dormant hair follicl reactiv push dead hair order form new one word hair dead follicl will linger month reactiv follicl will push old hair make room new far occur product must taken two year notic hair growth take place realli havent long enough judg regrowth potenti term halt process howev must say fewer hair brush morn possibl drug effect alreadi will post fuller report anoth fortyseven month suppos","surpris experi brief blind headach upper left rear quadrant head like mini secondslong burst pressur felt like blunt object sudden tri explod skull pressur subsid go day im told headach one usual sideeffect may unrel fluke howev ive never experi manifest within fortyeight hour first take drug seventytwo hour thereaft sudden sporad burst acut pain subsid howev caution anyon take drug first time lookout especi drive public place bright light lot nois around"
"nortriptyline",3,"Moderately Effective","Severe Side Effects","a typical migraines","I have A-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  I also do have headacheds that seem to come from ears and the back of my neck.  It help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  It helped me to ignore my symptoms and helped me to get through the day.","ringing in the ears, sensitivity to noise, phantom noise in head, which all lead to anxiety",4,3,6,0,2,"atyp migrain give weird sensat ear roar sens vibrat also headach seem come ear back neck help feel better start decreas symptom side effect wors origin symptom help ignor symptom help get day","ring ear sensit nois phantom nois head lead anxieti"
"imitrex",10,"Highly Effective","Mild Side Effects","migraine headaches","migraine headache would stop","dizzy, palpitations",2,5,10,1,4,"migrain headach stop","dizzi palpit"
"ativan",9,"Considerably Effective","No Side Effects","anxiety","Assists with getting to sleep and due to longer half life than other anxiolytics(ie Alprazolam)anxiety is less upon waking. Whilst Alprazolam is extrememly effective for immediate reduction in arousal, I find Lorazepam more effective for overall lowering of anxiety.It has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication.","As with all Benzodiazepines withdrawl is very noticeable if undertaken quickly. Lightheadedness, anxiety, dizzy spells, general feeling unwell.


In my experience the suggested half life in relation to reducing intake of these drugs is very misleading. Reduction for me has to be done very slowly over a number of weeks not days as usually suggested by physicians.",1,4,8,1,5,"assist get sleep due longer half life anxiolyticsi alprazolamanxieti less upon wake whilst alprazolam extremem effect immedi reduct arous find lorazepam effect overal lower anxietyit especi help start day littl anxieti rather high arous level immedi need manag medic","benzodiazepin withdrawl notic undertaken quick lightheaded anxieti dizzi spell general feel unwel experi suggest half life relat reduc intak drug mislead reduct done slowli number week day usual suggest physician"
"doxycycline",10,"Highly Effective","No Side Effects","severe peridontal disease","I had   persistent periodontal problems, both stressful and painful.  Every dentist I saw  told me I was going to lose my teeth.  This drug  cleared up the condition.  It protected me against inflammation for the entire period of time that I took it.  I continued taking the drug much longer than is usually recommended because it was so effective. The effectiveness did not seem to diminish.","None.",1,5,10,1,5,"persist periodont problem stress pain everi dentist saw told go lose teeth drug clear condit protect inflamm entir period time took continu take drug much longer usual recommend effect effect seem diminish","none"
"prozac",7,"Considerably Effective","Mild Side Effects","depression","relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget.","Sleepy and lack of response to problems.  Took too long to get started.  I think anyone else would think it wasn't effective and stop taking it.",2,4,8,1,4,"reliev depress help thing sleep diet exercis relationship respons stimul cost lower antidepress can help budget","sleepi lack respons problem took long get start think anyon els think wasnt effect stop take"
"topamax",6,"Highly Effective","Mild Side Effects","seizures,migraines,fibro.","To stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes","alittle weight loss but I was thin already the worst thing was Hair loss for me and the feeling of pins and needles in the feet got worse, the Dr increased my dose from 200mgs t0 300 mgs af ter four years because I had a few seizures ,and after only two to three weeks I had so many side affects ,I had not had in all of the four years that I had been taken the 200 mgs my hair came out,blurry vision,dehydration forgetfulness,you name it I had not delt with this before only read about this except for the hair and I have always had lots of it so you know how upset I was.. needless to say Istopped taking the extra 100mgs and went back to my old dosage with hopes tha everything will goe back to where it was ,trying to get in touch with the Dr. as I type now... Does anyone know if the side affects will goe away?",2,5,10,1,4,"stop migrain seizur pain fibromyalgiaalso neuropathi hand feet diabet","alittl weight loss thin alreadi worst thing hair loss feel pin needl feet got wors dr increas dose 200mgs t0 300 mgs af ter four year seizur two three week mani side affect four year taken 200 mgs hair came outblurri visiondehydr forgetfulnessyou name delt read except hair alway lot know upset needless say istop take extra 100mgs went back old dosag hope tha everyth will goe back tri get touch dr type now anyon know side affect will goe away"
"levitra",10,"Highly Effective","No Side Effects","ed","The stuff works like a charm--fast and effective.","None",1,5,10,1,5,"stuff work like charmfast effect","none"
"oxycodone",7,"Considerably Effective","Mild Side Effects","possible lymphoma/kidney pain","The drug was pretty good for pain. They had me on morphine, which was horrible. The pain was preferable to the crazy dreams and paranoia I had. They then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects.","Sleepiness, dizziness, light-headedness & nausea. I only took them when the pain was unbearable, so I might have gotten used to the side effects if I had kept the levels up in my system.",2,4,8,1,4,"drug pretti good pain morphin horribl pain prefer crazi dream paranoia tri oxycontin best pain drug gave addict move vicodin product work pretti well surpris side effect","sleepi dizzi lightheaded nausea took pain unbear might gotten use side effect kept level system"
"lamictal",8,"Highly Effective","No Side Effects","seizure disorder","Effective at controlling seizures without dizziness","There were no side effects",1,5,10,1,5,"effect control seizur without dizzi","side effect"
"oxycontin",7,"Considerably Effective","Mild Side Effects","post surgical pain","Able to tolerate the pain","Loss of appetite, dizzy",2,4,8,1,4,"abl toler pain","loss appetit dizzi"
"vicodin",8,"Considerably Effective","Mild Side Effects","broken collarbone","very effective pain killer","constipation",2,4,8,1,4,"effect pain killer","constip"
"accutane",9,"Highly Effective","Moderate Side Effects","acne","Eventually Cleared my moderate acne. Had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after 5 months","Hair loss! Not so much from my head, but other places such as arms etc. Dry lips were the worst, tried many different products but eventually carmex solved that. Dry skin slightly, not too much of a probelem. Depression was bad, would have no motivation to do anything and hated everything around me. After stopping the drug this discontinued and i deem it acceptable to have, for the results of clear skin.",3,5,8,1,3,"eventu clear moder acn reciev antibiot etc previosli reduc sever moder accutan complet clear skin 5 month","hair loss much head place arm etc dri lip worst tri mani differ product eventu carmex solv dri skin slight much probelem depress bad motiv anyth hate everyth around stop drug discontinu deem accept result clear skin"
"zocor",10,"Highly Effective","Mild Side Effects","high cholestoral","Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time.","I had soreness of muscles for the first several weeks which finally went away.",2,5,10,1,4,"brought overal cholestorol read 218 150 ldl 135 90 triglycerid 180 140 within 3 month time","sore muscl first sever week final went away"
"aldara",10,"Considerably Effective","No Side Effects","basal cell carcinoma","The cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended.","I had no side effects.  Some people think the ulcerated scabby areas are side effects, but this is what the cream is designed to do, make bad cells react and destruct.",1,4,8,1,5,"cream made basal cell carcinoma actin keratos react scab heal nice smooth skin two week treatment cream end","side effect peopl think ulcer scabbi area side effect cream design make bad cell react destruct"
"ortho-tri-cyclen",10,"Highly Effective","No Side Effects","birth control","No undesired pregnancies, lighter period","none",1,5,10,1,5,"undesir pregnanc lighter period","none"
"minocycline",6,"Marginally Effective","No Side Effects","treatment of acne","I took Minocycline hoping that it would clear up my acne. I have been taking Tetracycline for over 2 years without no result, frustrated, my doctor prescribed Minocyline. After 1 year, I was still having break out just not as bad.","The treatment had no side effect on me.",1,2,6,1,5,"took minocyclin hope clear acn take tetracyclin 2 year without result frustrat doctor prescrib minocylin 1 year still break just bad","treatment side effect"
"estrace",10,"Highly Effective","Mild Side Effects","replacement thearpy","no menopose benifits are loss off sytoms of menopose. improved mood leval. I have felt more energectic aand as stated a general mood elevation. I have started working out , less irratable and overall calmer. The hormone replacement has improved my lifestyle and relationships to others. I am know longer quick tempered or irritable.","I have had some tirdeness and general sleep problems. I dont know if this was due to estrace or not. I have been someonewhat confused about hoe my energy has increased but my tirdness usually is in the morning when I take estrace. Perhaps I should try evening.",2,5,10,1,4,"menopos benifit loss sytom menopos improv mood leval felt energect aand state general mood elev start work less irrat overal calmer hormon replac improv lifestyl relationship other know longer quick temper irrit","tird general sleep problem dont know due estrac someonewhat confus hoe energi increas tird usual morn take estrac perhap tri even"
"meridia",10,"Highly Effective","Mild Side Effects","over weight","Lost over 30 pounds and still going!","The first week I had a very dry mouth all the time.",2,5,10,1,4,"lost 30 pound still go","first week dri mouth time"
